location,name,note,waterfront,state,ownership,website,elevation_feet,delta_temp,climate,visited,phone
"35.6319,-83.0855",Cataloochee Campground,Great Smoky Mountains National Park; in a high valley surrounded by even higher mountain peaks; 27 sites for tents and RVs.  --AWH,none,NC,federal,"https://www.nps.gov/grsm/planyourvisit/cataloochee-campground.htm
https://www.recreation.gov/camping/campgrounds/233284?tab=info",2762,-2.6285560199999973,similar,no,
"35.5647,-83.1737",Balsam Mountain Campground,"High-elevation ridge campground in Great Smoky Mountains National Park; temperatures rarely exceed 70 degrees.  Steep, winding access road.  --AWH",none,NC,federal,"https://www.nps.gov/grsm/planyourvisit/balsam-mountain.htm
https://www.recreation.gov/camping/campgrounds/273848?src=widget",5351,-11.738896019999999,cooler,no,
"36.1379,-82.3508",Rock Creek Recreation Area,Cherokee National Forest; small pond nearby.  --AWH,none,TN,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/rock-creek-recreation-area
https://www.recreation.gov/camping/campgrounds/267551?tab=info",2339,-2.0300560199999973,similar,no,
"36.2568,-82.1132",Dennis Cove Recreation Area,Cherokee National Forest; at least a few campsites in this small campground are situated directly along Laurel Creek.  --AWH,creek,TN,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/dennis-cove-recreation-area
https://www.recreation.gov/camping/campgrounds/251724?tab=info",2644,-3.3321760199999915,similar,no,
"36.3109,-82.1188",Cardens Bluff Campground,Cherokee National Forest; site 29 is the only RV site on the Lake.  --AWH,lake,TN,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/cardens-bluff-campground
https://www.recreation.gov/camping/campgrounds/122390",1962,-0.9959560199999876,similar,no,
"36.5156,-82.0520",Little Oak Campground,"Cherokee National Forest; multiple RV sites right on South Holston Lake, including 26 and 47.  --AWH",lake,TN,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/little-oak-campground
https://www.recreation.gov/camping/campgrounds/122240",1929,-1.2474160199999924,similar,no,
"36.5635,-82.0063",Jacobs Creek Recreation Area,"Cherokee National Forest; multiple RV sites right on South Holston Lake, including 22 and 27.  --AWH",lake,VA,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/jacobs-creek-recreation-area
https://www.recreation.gov/camping/campgrounds/10128487",1778,-0.7954360199999897,similar,no,
"36.5968,-81.8215",Backbone Rock Campground,Sites are directly alongside Beaverdam Creek in a narrow gorge in Cherokee National Forest.  Access to creek may be overgrown in the summertime.  --AWH,creek,TN,federal,"https://www.fs.usda.gov/r08/cherokee/recreation/backbone-rock-recreation-area
https://www.recreation.gov/camping/campgrounds/251757",2470,-3.3240760199999975,similar,no,
"35.6895,-82.1995",Curtis Creek Campground,"Pisgah National Forest; A couple of RV sites appear to be creekside, but access to the creek may be overgrown in the summertime..  --AWH",creek,NC,federal,"https://www.fs.usda.gov/r08/northcarolina/recreation/curtis-creek-campground
https://www.recreation.gov/camping/campgrounds/251469",1939,0.2044639800000013,similar,no,
"35.8045,-82.2074",Carolina Hemlocks Recreation Area,Sites are arranged along the South Toe River in Pisgah National Forest; some RV sites have direct river access.  --AWH,river,NC,federal,"https://www.fs.usda.gov/r08/northcarolina/recreation/carolina-hemlocks-recreation-area
https://www.recreation.gov/camping/campgrounds/233954",2808,-3.10303601999999,similar,no,
"35.9685,-81.9419",Linville Falls Campground,High-elevation Blue Ridge Parkway campground on a ridge near the falls trailhead.  --AWH,none,NC,federal,"https://www.nps.gov/blri/planyourvisit/linville-falls-cg.htm
https://www.recreation.gov/camping/campgrounds/234036",3359,-5.363836019999992,slightly cooler,no,
"35.9924,-81.7632",Mortimer Campground,Pisgah National Forest near Grandfather Mountain  --AWH,none,NC,federal,"https://www.fs.usda.gov/r08/northcarolina/recreation/mortimer-campground
https://www.recreation.gov/camping/campgrounds/10046915",1696,0.52504398,similar,no,
"36.1392,-81.7387",Julian Price Campground,"High-elevation Blue Ridge Parkway campground on Price Lake; a few sites in the A loop are waterfront and will accomodate small RVs, including sites A11 and A25.  --AWH",lake,NC,federal,https://www.nps.gov/blri/planyourvisit/price-cg.htm,3464,-6.045496019999999,slightly cooler,no,
"36.1010,-81.2884",Warrior Creek Campground,"USACE campground in W. Kerr Scott Reservoir area.  A few sites are on a little pond, but none of the sites appear to be on the reservoir.  --AWH",pond,NC,federal,"https://www.saw.usace.army.mil/Locations/District-Lakes-and-Dams/W-Kerr-Scott/Recreation/Recreation-Areas/
https://www.recreation.gov/camping/campgrounds/233665",1138,2.3185639800000075,similar,no,
"36.1296,-81.2746",Fort Hamby Park,USACE campground on W. Kerr Scott Reservoir with a few lakefront sites.  --AWH,lake,NC,federal,"https://www.saw.usace.army.mil/Locations/District-Lakes-and-Dams/W-Kerr-Scott/Recreation/Recreation-Areas/
https://www.recreation.gov/camping/campgrounds/234253",1217,1.9862839799999998,similar,no,
"36.4288,-81.1597",Doughton Park Campground,High-elevation Blue Ridge Parkway campground on a mountain ridge.  --AWH,none,NC,federal,https://www.nps.gov/blri/planyourvisit/doughton-park-cg.htm,3500,-6.695476019999998,slightly cooler,no,
"36.8030,-80.3518",Rocky Knob Recreation Area,Blue Ridge Parkway campground on a mountain ridge.  --AWH,none,VA,federal,https://www.nps.gov/blri/planyourvisit/rocky-knob-cg.htm,2539,-3.940936019999989,similar,no,
"37.4424,-79.6087",Peaks Of Otter Campground,Blue Ridge Parkway campground near Peaks of Otter Lake.  Campsites are not waterfront.  --AWH,none,VA,federal,https://www.nps.gov/blri/planyourvisit/peaks-otter-cg.htm,2611,-5.349256019999992,slightly cooler,no,
"37.5762,-79.3389",Otter Creek Campground,Blue Ridge Parkway campground near Otter Creek.  Campsites are not waterfront.  --AWH,none,VA,federal,https://www.nps.gov/blri/planyourvisit/otter-creek-cg.htm,823,0.7864039800000058,similar,no,
"39.5515,-79.4630",Piney Mountain campsites,"Potomac-Garrett State Forest, 10 dispersed campsites along Piney Mountain road.  Self-registration kiosk on Piney Mountain road near Sang Run road.  $10 per night.  --AWH",none,MD,state,"https://dnr.maryland.gov/forests/Pages/publiclands/PotomacGarrett/Camping.aspx
https://freecampsites.net",2874,-10.081636019999989,cooler,no,
"39.4981,-79.4541",Snaggy Mountain campsites,"Potomac-Garrett State Forest, 10 dispersed campsites along Snaggy Mountain road between Cranesville road and Sanders lane.  Self-registration kiosk on Snaggy Mountain road near Cranesville road.  $10 per night.  --AWH",none,MD,state,"https://dnr.maryland.gov/forests/Pages/publiclands/PotomacGarrett/Camping.aspx
https://freecampsites.net",2559,-8.862316019999994,slightly cooler,no,
"39.3818,-79.2772",Lostland Run campsites,"Potomac-Garrett State Forest, 5 dispersed campsites along Lostland Run road leading to north branch of Potomac River.  Self-registration kiosk on Lost Land Run road near Potomac Camp road.  $10 per night.  --AWH",none,MD,state,"https://dnr.maryland.gov/forests/Pages/publiclands/PotomacGarrett/Camping.aspx
https://freecampsites.net",2437,-8.220076019999992,slightly cooler,no,
"39.3407,-79.2960",Wallman/Laurel Run campsites,"Potomac-Garrett State Forest, 14 dispersed campsites along Wallman and Laurel Run roads leading to north branch of Potomac River.  Self-registration kiosk at 15 Laurel Run.  $10 per night.  --AWH",none,MD,state,"https://dnr.maryland.gov/forests/Pages/publiclands/PotomacGarrett/Camping.aspx
https://freecampsites.net",2614,-8.777896019999991,slightly cooler,no,
"38.9374,-78.6425",FR92 Roadside Site,Alongside FR92 is a narrow lane with two camping places.  The first is accessible to almost any vehicle.  The second would probably require a 4WD.  --AWH,none,VA,federal,https://freecampsites.net,1689,-4.752556019999988,slightly cooler,no,
"38.9147,-78.6272",Columbia Furnace Boondock,Large gravel lot owned by the forest service. Likely fits 5+ large RVs. Very friendly forest rangers and completely legal. Lots of smaller campsites along the main forest road.  --AWH,none,VA,federal,https://freecampsites.net,1574,-4.30219602,slightly cooler,no,
"41.7788,-78.8884",Red Bridge Campground,Allegheny National Forest campground on the Allegheny River.  Some sites are riverfront.  --AWH,river,PA,state,"https://thedyrt.com/press/2025-best-places-to-camp-in-the-northeast-region/
https://www.recreation.gov/camping/campgrounds/232088",1381,-8.767276019999988,slightly cooler,no,
"44.1613,-71.0950",Town Hall Road Dispersed Sites,Roadside dispersed sites along Slippery Brook in the White Mountain National Forest; most are directly on the river and some will accomodate small RVs.  --AWH.,none,NH,federal,https://thedyrt.com/camping/new-hampshire/town-hall-road-free-camping,1378,-13.04407601999999,cooler,no,
"35.5232,-87.4570",Meriwether Lewis Campground,Natchez Trace Parkway campground in a wooded loop; sites are first-come-first-served.  --AWH,none,TN,federal,https://thedyrt.com/press/2025-best-places-to-camp-in-the-southeast-region/,853,4.376503980000001,slightly warmer,no,
"39.2212,-81.1094",River Run Campground,Part of North Bend State Park.  Several sites are right on the river.  --AWH,river,WV,state,https://thedyrt.com/press/2025-best-places-to-camp-in-the-southeast-region/,915,-2.50219602,similar,no,
"36.2845,-92.5302",Blue Heron Campground,Ozark Mountain hideaway offers premium riverfront sites with full hookups for $65-$80/night.  --AWH,river,AR,private,https://thedyrt.com/press/2025-best-places-to-camp-in-the-southeast-region/,439,4.4803639800000035,slightly warmer,no,
"34.9528,-82.9515",Devils Fork State Park Campground,"Many waterfront RV sites on Lake Jocassee.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",lake,SC,state,"https://southcarolinaparks.com/devils-fork/camping
https://www.campsitephotos.com/campground/sc/devils-fork-state-park/",1118,4.45552398,slightly warmer,no,864-944-2639
"41.2064,-75.6152",002 Fireline,"Pinchot State Forest
Dispersed campsite on a forested ridge in Pinchot State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,1807,-9.257956019999998,cooler,no,
"38.2914,-79.3051",Braley Pond dispersed campsites,"Dispersed sites can be found along the road before reaching the pond, and more are located past the pond along the turnaround area. Camping is not allowed near the pond, although campers may use the vault toilet there.",none,VA,federal,https://tmbtent.com/virginia-free-dispersed-camping/,2040,-4.841656019999999,slightly cooler,no,
"38.4880,-79.2149",Hone Quarry Ridge Campsite,High-elevation campsite at Flagpole rd & Hone Quarry Ridge trail,none,WV,federal,,3878,-11.747536019999993,cooler,no,
"38.6424,-79.0847",Long Run Road Campsite #4,Unverified high-elevation dispersed site; road may require 4WD.  --AWH,none,WV,federal,,3563,-10.902256019999998,cooler,no,
"38.6455,-79.0823",Long Run Road Campsite #5,Unverified high-elevation dispersed site; road may require 4WD.  --AWH,none,WV,federal,,3536,-10.814236019999992,cooler,no,
"38.6514,-79.0837",Long Run Road campsite #6,Unverified high-elevation dispersed site; road may require 4WD.  --AWH,none,WV,federal,,3504,-10.707856019999998,cooler,no,
"38.7664,-79.5778",Gandy Creek dispersed camping,About three high-elevation dispersed RV campsites (and many more tent sites) along Gandy Creek.  RV sites are almost always occupied in good weather.  No cell service in this remote area.  --AWH,creek,WV,federal,"https://thedyrt.com/camping/west-virginia/gander-creek-dispersed-camping
https://www.purplelizard.com/blogs/news/car-camping-and-single-track-adventures-in-gandy-creek",3176,-9.74485601999999,cooler,no,
"38.7701,-79.5556",Swallow Rock Campground,Small high-elevation camping spot that is part of the Gandy Creek Dispersed Camping area; sites are directly along Gandy Creek.  --AWH,creek,WV,federal,https://thedyrt.com/camping/west-virginia/west-virginia-swallow-rock,3166,-9.716416019999993,cooler,no,
"39.0323,-79.3159",Red Creek Campground,"Small high-elevation first-come-first-served USFS campground in the Dolly Sods area.  Almost always full on weekends and in nice weather.  $11/night as of 2026, cash only, exact change.  --AWH",none,WV,federal,"https://www.fs.usda.gov/r09/monongahela/recreation/red-creek-campground
https://thedyrt.com/camping/west-virginia/west-virginia-red-creek
https://www.campsitephotos.com/campground/wv/red-creek/",3874,-12.715576019999993,cooler,no,
"38.7076,-79.5878",Spruce Knob Lake Campground,"High-elevation campground near Spruce Knob.  There is a lake nearby, but the campground is not lakefront.  --AWH",none,WV,federal,"https://www.recreation.gov/camping/campgrounds/234132
https://thedyrt.com/camping/west-virginia/west-virginia-spruce-knob-lake",4045,-12.739516019999993,cooler,no,
"39.6346,-79.1187",New Germany State Park Campground,"A few sites may be large enough for a camper van.  There is a lake in the park, but the campground is not lakefront.",none,MD,state,https://parkreservations.maryland.gov,2575,-9.166516019999992,cooler,no,
"39.6603,-78.9656",St. John's Rock Campsites,"Part of Savage River State Forest
Savage River State Forest site on elevated terrain; not directly on a water body.",none,MD,state,https://parkreservations.maryland.gov,2779,-9.938176019999993,cooler,no,
"39.8539,-78.2722",SH001 Town Hill,"secluded site with road noise from I-70
Buchanan State Forest
SH001 Town Hill",none,MD,state,https://pennsylvaniastateparks.reserveamerica.com/,1581,-6.0161560199999995,slightly cooler,no,
"39.8734,-78.5091",CV021 326 Lot,"Buchanan State Forest
CV021 326 Lot
Dispersed campsite on a forested lot in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2083,-7.841356019999988,slightly cooler,no,
"39.8614,-78.5290",CV014 Nester Lot,"Buchanan State Forest
CV014 Nester Lot
Dispersed campsite on a forested lot in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2306,-8.61535602,slightly cooler,no,
"39.8581,-78.5447",CV013 Refuge Trail ATV,"Buchanan State Forest
CV013 Refuge Trail ATV
Dispersed campsite along an ATV trail in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2053,-7.708516019999993,slightly cooler,no,
"39.8605,-78.5638",CV011 Martin Hill North,"Buchanan State Forest
CV011 Martin Hill North
Dispersed campsite on Martin Hill in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2057,-7.724536019999998,slightly cooler,no,
"39.8545,-78.5776",CV008 Oak Trail," large grassy private lot
Buchanan State Forest
CV008 Oak Trail
Dispersed campsite in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2263,-8.450836019999997,slightly cooler,no,
"39.8307,-78.5441",CV006 Tower Lot,"Buchanan State Forest
CV006 Tower Lot",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2723,-10.045996019999995,cooler,no,
"39.8318,-78.5946",CV007 Blankley Road West,"Buchanan State Forest
Site CV007 ""Blankley Road West""
Dispersed campsite along Blankley Road in Buchanan State Forest; no water body adjacent.",none,PA,state,https://pennsylvaniastateparks.reserveamerica.com/,2122,-7.906876019999997,slightly cooler,no,
"39.9878,-77.4013",Big Flat Parking Area,"8 drive up campsites available by reservation
Drive-up campsites in Michaux State Forest; no water body adjacent.",none,PA,state,,1988,-7.707976019999995,slightly cooler,no,
"39.9700,-77.4698",Site 009 Haunted Hollow,Dispersed campsite in state forest; no water body adjacent.,none,PA,state,,2027,-7.816336019999992,slightly cooler,no,
"39.9818,-79.2939",Forbes Motorized Campsite #5,Dispersed motorized campsite in Forbes State Forest on forested mountain terrain; no water body adjacent.,none,PA,state,,2398,-9.159676019999994,cooler,no,
"40.1083,-79.1953",Forbes State Forest Motorized Site 2,Dispersed motorized campsite in Forbes State Forest; no water body adjacent.,none,PA,state,,2798,-10.814776019999993,cooler,no,
"40.1305,-79.1821",Forbes State Forest Motorized Camping #1,Dispersed motorized campsite in Forbes State Forest; no water body adjacent.,none,PA,state,,2706,-10.52713601999999,cooler,no,
"40.0602,-79.2325",Kooser State Park,"Kooser Lake is in the park for swimming but the campground is set back in the woods, not directly lakefront.",none,PA,state,,2559,-9.874096019999996,cooler,no,
"39.8022,-79.6784",Forbes State Forest Campsite #3,"small spring-fed pond nearby
Note mentions a small spring-fed pond nearby, but 'nearby' does not mean the site is directly on the pond.",none,PA,state,,2509,-9.234196019999992,cooler,no,
"39.7980,-79.6473",Forbes Campsite #4,Dispersed campsite in Forbes State Forest; no water body adjacent.,none,PA,state,,2135,-7.892836019999997,slightly cooler,no,
"39.7915,-79.1549",Forbes State Forest Motorized Site 6,Dispersed motorized campsite in Forbes State Forest; no water body adjacent.,none,PA,state,,2969,-10.852936019999992,cooler,no,
"39.5244,-79.3006",Deep Creek Lake State Park,"There is a lake in the park, but the campground is not lakefront.",none,MD,state,https://parkreservations.maryland.gov,2952,-10.313656019999994,cooler,no,
"38.9187,-79.7729",Stuart Recreation Area,USFS campground in the vicinity of the Greenbrier River but sites are not confirmed to be directly on the river.,none,WV,federal,,2319,-6.965296019999996,slightly cooler,no,
"38.9315,-79.6807",Bear Heaven Campground,"High-elevation campground.  Not specifically designed for RVs, but online videos suggest that at least a few of the sites should be able to accommodate a camper van.",none,WV,federal,,3641,-11.703436019999994,cooler,no,
"38.7624,-78.2966",Mathews Arm Campground,Northernmost campground in Shenandoah National Park.  --AWH,none,VA,federal,"https://www.recreation.gov/camping/campgrounds/232432
https://www.campsitephotos.com/campground/va/mathews-arm/",2762,-8.263456019999994,slightly cooler,yes,
"39.6390,-79.1112",Sleepy Hollow Campground,", private campground, $40/night incl fees.
Private campground in western Maryland; no specific water body adjacent.",none,MD,private,,2614,-9.31483602,cooler,no,
"39.3991,-79.2659",Wolf Den Run State Park,The run flows through the park area but the campsites are in a wooded area and not confirmed to be directly on the stream.,none,MD,state,,2700,-9.187216019999989,cooler,no,
"39.5442,-79.1385",Big Run State Park,"There is a lake in the park, but the campground is not lakefront.",none,MD,state,https://parkreservations.maryland.gov,1479,-5.095996019999988,slightly cooler,no,
"39.5731,-79.1594",Big Run Campground,Part of Savage River State Forest.  Many campsites are adjacent to a creek.,creek,MD,state,https://parkreservations.maryland.gov,1886,-6.598816019999989,slightly cooler,no,
"35.4479,-80.0787","Badin Lake Campground, Uwharrie National Forest",multiple lakefront sites  --AWH,lake,NC,federal,https://www.recreation.gov/camping/campgrounds/233911,534,5.646943980000011,slightly warmer,no,
"33.8409,-82.3360",Hawe Creek Campground,COE campground on J. Strom Thurmond Lake w/multiple lakefront sites  --AWH,lake,SC,federal,https://www.recreation.gov/camping/campgrounds/232596,433,8.90224398000001,slightly warmer,no,
"33.6515,-82.4226",Winfield Campground,COE campground on J. Strom Thurmond Lake w/multiple lakefront sites  --AWH,lake,GA,federal,https://www.recreation.gov/camping/campgrounds/232749,347,9.547363980000009,warmer,no,
"33.7224,-82.2175","Modoc Campground, J. Strom Thurmond Lake",COE campground w/multiple lakefront sites  --AWH,lake,GA,federal,https://www.recreation.gov/camping/campgrounds/232645,406,9.209143980000006,warmer,no,
"33.6577,-82.2606","Petersburg Campground, J. Strom Thurmond Lake",COE campground w/multiple lakefront sites  --AWH,lake,GA,federal,https://www.recreation.gov/camping/campgrounds/232668,423,9.267103980000009,warmer,no,
"33.6800,-82.2591","Ridge Road Campground, J. Strom Thurmond Lake",COE campground w/multiple lakefront sites  --AWH,lake,GA,federal,https://www.recreation.gov/camping/campgrounds/232687,387,9.355663980000008,warmer,no,
"34.4309,-80.8704",Lake Wateree State Park,"15 campsites on the lakefront.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",lake,SC,state,"https://reserve.southcarolinaparks.com/lake-wateree
https://www.campsitephotos.com/campground/sc/lake-wateree-state-park/",269,8.425243980000005,slightly warmer,no,803-482-6401
"34.6310,-81.7390",Sedalia Campground,Small campground in Sumter National Forest.  --AWH,none,SC,federal,https://www.recreation.gov/camping/campgrounds/10145689,616,6.824863980000005,slightly warmer,no,
"34.4481,-81.7068",Brick House Campground,Small campground in Sumter National Forest.  --AWH,none,SC,federal,https://www.recreation.gov/camping/campgrounds/10145499,580,7.282783980000012,slightly warmer,no,
"34.0852,-81.4079",Dreher Island State Park,"Many sites are right on the lake.  To reserve a single night, call the campground directly within one week of arrival.  --AWH",lake,SC,state,"https://southcarolinaparks.com/dreher-island
https://www.campsitephotos.com/campground/sc/dreher-island-state-park/",360,8.719903980000005,slightly warmer,no,803-364-4152
"36.2458,-77.8927",Medoc Mountain State Park,Pleasant wooded campground near the Virginia state line roughly 20 minutes from I-95.  --AWH,none,NC,state,"https://northcarolinastateparks.reserveamerica.com/camping/medoc-mountain-state-park/r/campgroundDetails.do?contractCode=NC&parkId=552834
https://www.campsitephotos.com/campground/nc/medoc-mountain-state-park/",190,5.439223980000001,slightly warmer,yes,
"30.4004,-81.9277",Cary State Forest,Six large well-separated water/electric sites in a pine forest off of US-301 not far from Jacksonville.  --AWH,none,FL,federal,"https://floridastateforests.reserveamerica.com/camping/cary-state-forest-campground/r/campgroundDetails.do?contractCode=FLFS&parkId=1120135
https://www.campsitephotos.com/campground/fl/cary-state-forest/",104,16.265143980000005,much warmer,yes,
"36.4123,-78.3982",Nutbush Bridge Campground,Many sites are right on the beach.  Part of Kerr Lake State Recreation Area.  --AWH,lake,NC,state,"https://northcarolinastateparks.reserveamerica.com/camping/kerr-lake-state-recreation-area/r/campgroundDetails.do?contractCode=NC&parkId=552904
https://www.campsitephotos.com/campground/nc/kerr-lake-state-recreation-area-nutbush-bridge/",360,4.531123980000003,slightly warmer,no,
"36.5202,-78.3199",County Line Camping Area,Many campsites are located on the lakefront.  Part of Kerr Lake State Recreation Area.  --AWH,lake,NC,state,https://northcarolinastateparks.reserveamerica.com/camping/kerr-lake-state-recreation-area/r/campgroundDetails.do?contractCode=NC&parkId=552904,360,4.3369039800000015,slightly warmer,no,
"36.4590,-78.3666",Bullocksville Park,Many campsites are located on the lakefront.  Part of Kerr Lake State Recreation Area.  --AWH,lake,NC,state,https://northcarolinastateparks.reserveamerica.com/camping/kerr-lake-state-recreation-area/r/campgroundDetails.do?contractCode=NC&parkId=552904,360,4.44706398,slightly warmer,no,
