Title,Note,URL,Tags,Comment
"39°49'54.4""N 78°35'40.6""W","2100 ft. elev
Buchanan State Forest
Site CV007 ""Blankley Road West""
https://pennsylvaniastateparks.reserveamerica.com/","https://www.google.com/maps/search/39.83179,-78.59462",,
Big Flat Parking Area,"2000 ft. elev
8 drive up campsites available by reservation",https://www.google.com/maps/place/Big+Flat+Parking+Area/data=!4m2!3m1!1s0x89c9088acb25f87f:0x3973347fa9bd2a05,,
"39°58'12.1""N 77°28'11.4""W",2000 ft. elev.,"https://www.google.com/maps/search/39.97002,-77.46984",,
Forbes Motorized Campsite #5,2400 ft. elev.,https://www.google.com/maps/place/Forbes+Motorized+Campsite+%235/data=!4m2!3m1!1s0x89cad30cffca2825:0x8535ce079adce954,,
Forbes State Forest Motorized Site 2,2800 ft. elev.,https://www.google.com/maps/place/Forbes+State+Forest+Motorized+Site+2/data=!4m2!3m1!1s0x89cad948f9f553ed:0xdf9242d475e0e7b2,,
Forbes State Forest Motorized Camping #1,2600 ft. elev.,https://www.google.com/maps/place/Forbes+State+Forest+Motorized+Camping+%231/data=!4m2!3m1!1s0x89cb27e6551d9d59:0x8572e15b0fafb77a,,
Kooser State Park,2400 ft. elev,https://www.google.com/maps/place/Kooser+State+Park/data=!4m2!3m1!1s0x89cad7303bb8fe83:0xcbac67f8124320d7,,
Forbes State Forest Campsite #3,"2500 ft. elev.
small spring-fed pond nearby",https://www.google.com/maps/place/Forbes+State+Forest+Campsite+%233/data=!4m2!3m1!1s0x883541adf0ddd2c7:0x525cc45cb9562b45,,
Forbes Campsite #4,2000 ft. elev.,https://www.google.com/maps/place/Forbes+Campsite+%234/data=!4m2!3m1!1s0x883547743f425461:0x8cb60a55aacaf801,,
Forbes State Forest Motorized Site 6,3000 ft. elev.,https://www.google.com/maps/place/Forbes+State+Forest+Motorized+Site+6/data=!4m2!3m1!1s0x89cab87d6027fb09:0x9212f40bf8c5234d,,
Deep Creek Lake State Park,2600 ft. elev.,https://www.google.com/maps/place/Deep+Creek+Lake+State+Park/data=!4m2!3m1!1s0x89caaa2c6750d885:0xb52869b3b1191ed3,,
Stuart Recreation Area,2250 ft. elev.,https://www.google.com/maps/place/Stuart+Recreation+Area/data=!4m2!3m1!1s0x884ae0f0ace5d7bd:0x469b206388838382,,
Bear Heaven Campground,"3600 ft. elev.
Not specifically designed for RVs, but online videos suggest that at least a few of the sites should be able to accommodate a camper van.",https://www.google.com/maps/place/Bear+Heaven+Campground/data=!4m2!3m1!1s0x884ade18781b59e1:0x76447d11303551b7,,
Mathews Arm Campground,2800 ft. elev.,https://www.google.com/maps/place/Mathews+Arm+Campground/data=!4m2!3m1!1s0x89b5b564ae05ec2d:0x66ba210ed042493d,,
Sleepy Hollow Campground,"2600 ft elev, private campground, $40/night incl fees.",https://www.google.com/maps/place/Sleepy+Hollow+Campground/data=!4m2!3m1!1s0x89cabb50f12bfcb5:0x859578cc6e1cec07,,
Wolf Den Run State Park,2700 ft elev,https://www.google.com/maps/place/Wolf+Den+Run+State+Park/data=!4m2!3m1!1s0x89b55191ce948b55:0x485dacfd625be19a,,
Big Run State Park,,https://www.google.com/maps/place/Big+Run+State+Park/data=!4m2!3m1!1s0x89caa698635e54b3:0xca32f049d0293166,,
Big Run Campground,,https://www.google.com/maps/place/Big+Run+Campground/data=!4m2!3m1!1s0x89caa50067b37209:0x1f2ae656f41c11e1,,
Badin Lake Campground,,https://www.google.com/maps/place/Badin+Lake+Campground/data=!4m2!3m1!1s0x88548093a81b68d5:0x77b75b70880b7f28,,
Hawe Creek Campground,,https://www.google.com/maps/place/Hawe+Creek+Campground/data=!4m2!3m1!1s0x88f78c30ebf2de4f:0x393511ebdf21b514,,
Winfield Campground,,https://www.google.com/maps/place/Winfield+Campground/data=!4m2!3m1!1s0x88f79d3d7ace92d7:0x9a79e7af86416dc,,
Modoc Campground,,https://www.google.com/maps/place/Modoc+Campground/data=!4m2!3m1!1s0x88f787f8c1b34b2f:0x9503796d39065bb2,,
Petersburg Campground,,https://www.google.com/maps/place/Petersburg+Campground/data=!4m2!3m1!1s0x88f7872070719f73:0xd9eca99b50dfc19b,,
LAKE SPRINGS,,https://www.google.com/maps/place/LAKE+SPRINGS/data=!4m2!3m1!1s0x88f78769a4d806b9:0x66d7c5602d910839,,
US Corps of Engineers Ridge Rd. Campground,,https://www.google.com/maps/place/US+Corps+of+Engineers+Ridge+Rd.+Campground/data=!4m2!3m1!1s0x88f786fd9b307533:0xb94f7c21c0578ceb,,
Lake Wateree State Park,,https://www.google.com/maps/place/Lake+Wateree+State+Park/data=!4m2!3m1!1s0x8856097d58f038af:0x89c62f71a658295b,,
Sedalia Campground,,https://www.google.com/maps/place/Sedalia+Campground/data=!4m2!3m1!1s0x8857b90223b8adc5:0x411b9fab4a62666b,,
Brick House Campground,,https://www.google.com/maps/place/Brick+House+Campground/data=!4m2!3m1!1s0x8857c5761068e8e1:0xddc1c65375466fb6,,
Dreher Island State Park,,https://www.google.com/maps/place/Dreher+Island+State+Park/data=!4m2!3m1!1s0x88f88439b6614bdf:0x8c1cfb6a22a164ec,,
"36°14'45.0""N 77°53'33.9""W",,"https://www.google.com/maps/search/36.245829,-77.892737",,
Cary Campground,,https://www.google.com/maps/place/Cary+Campground/data=!4m2!3m1!1s0x88e596e96bab9a67:0x7a5f737625fc71f2,,
Nutbush Bridge Campground,,https://www.google.com/maps/place/Nutbush+Bridge+Campground/data=!4m2!3m1!1s0x89ad966db75d5461:0x6e9fb270df6dc80,,
"Kerr Lake, County Line Camping",,"https://www.google.com/maps/place/Kerr+Lake,+County+Line+Camping/data=!4m2!3m1!1s0x89ad92f33b6b25a1:0x912dfa0c28f78eec",,
Bullocksville Park,,https://www.google.com/maps/place/Bullocksville+Park/data=!4m2!3m1!1s0x89ad940df82fa9b5:0x24be1f718bae1e7,,
Kimball Point Campground,,https://www.google.com/maps/place/Kimball+Point+Campground/data=!4m2!3m1!1s0x89ad930d7864efa3:0xf3b9db252a36304b,,
J C Cooper Campground,,https://www.google.com/maps/place/J+C+Cooper+Campground/data=!4m2!3m1!1s0x89ad942dfbe170b5:0x9cb47f3e834f171e,,
Hibernia,,https://www.google.com/maps/place/Hibernia/data=!4m2!3m1!1s0x89ad93ccfff9953d:0x712ecc3f2fdf4c4a,,
Henderson Point Campground,,https://www.google.com/maps/place/Henderson+Point+Campground/data=!4m2!3m1!1s0x89ad926c0daf360f:0xf61de47f7cb6c19a,,
Blue Knob State Park Campground,"Best sites according to https://www.youtube.com/watch?v=HhmVrsQAuR8: 1*, 16, 20, 21, 22**, 24, 26, 27, 28, 29, 43*, 45, 47, 48, 50*",https://www.google.com/maps/place/Blue+Knob+State+Park+Campground/data=!4m2!3m1!1s0x89cba764879c3fa3:0x4f4fa1f9d846ee2,,
"39°30'39.5""N 78°09'14.1""W",https://wvdnr.gov/lands-waters/wildlife-management-areas/,"https://www.google.com/maps/search/39.5109783,-78.1539224",,
"39°14'59.4""N 78°45'02.3""W",https://wvdnr.gov/lands-waters/wildlife-management-areas/,"https://www.google.com/maps/search/39.2498358,-78.7506333",,
"39°12'19.9""N 78°40'00.7""W",https://wvdnr.gov/lands-waters/wildlife-management-areas/,"https://www.google.com/maps/search/39.205524,-78.666862",,
Gifford Pinchot State Park Campground,"waterfront with view: 319, 320; waterfront w/partial view: 316, 317, 318, 321; water view: 279, 280, 281, 294, 295, 296; private: 164",https://www.google.com/maps/place/Gifford+Pinchot+State+Park+Campground/data=!4m2!3m1!1s0x89c8eded81ca297d:0x65fa4f8cb5de9c67,,
Tea Creek Campground,,https://www.google.com/maps/place/Tea+Creek+Campground/data=!4m2!3m1!1s0x884b8432e7a3f8ab:0xf9145d23cc457c48,,
Seneca Shadows Campground,"Seneca Shadows is the newest campground in the Spruce Knob-Seneca Rocks National Recreation Area. Many sites offer outstanding views of the 900 foot Seneca Rocks. This is a modern campground with flush toilets, lantern posts, picnic tables and campfire rings. The large facility has a selection of walk-to tent sites, standard RV sites and tent-only group sites.",https://www.google.com/maps/place/Seneca+Shadows+Campground/data=!4m2!3m1!1s0x884b2ab6bd8186e7:0xc7e85b2d28068c74,,
Day Run Campground,,https://www.google.com/maps/place/Day+Run+Campground/data=!4m2!3m1!1s0x884b86e21ee4f4a1:0x4f1395133d98c966,,
Bishop Knob Campground,,https://www.google.com/maps/place/Bishop+Knob+Campground/data=!4m2!3m1!1s0x884bf48fc2b681fd:0x7db22ceed2655c5a,,
Blue Bend Campground,,https://www.google.com/maps/place/Blue+Bend+Campground/data=!4m2!3m1!1s0x884c67fb8960e943:0x4ace51ee43c67560,,
Lake Buffalo Recreation Area,"A primitive camping area next to a 22-acre lake stocked with trout, suitable for fishing and kayaking. Limited dispersed sites are available, primarily for tents or small RVs. The area is open from March to November.  Popular with anglers, this quiet retreat is ideal for a long weekend. Nearby Long Run and East Fork of the Greenbrier River offer additional fishing opportunities.",https://www.google.com/maps/place/Lake+Buffalo+Recreation+Area/data=!4m2!3m1!1s0x884b407892701c2b:0xbfd29147d7f9743,,
"38°39'00.6""N 79°44'46.3""W","15 numbered sites along the Little River, suitable for tents and small to medium RVs. The setting is peaceful with access to the West Fork Rail Trail and fishing opportunities. The narrow gravel road may be tricky for larger rigs.  Very remote with no cell service, ideal for those seeking solitude. Sites fill up on weekends.","https://www.google.com/maps/search/38.650157,-79.74618",,
C.F. Phelps WMA Public Parking,,https://www.google.com/maps/place/C.F.+Phelps+WMA+Public+Parking/data=!4m2!3m1!1s0x89b69b8122efde5f:0x3ae8abe82375aab,,
Worthington State Forest Campsite,"Several RV sites adjacent to the river, some may have partial river views",https://www.google.com/maps/place/Worthington+State+Forest+Campsite/data=!4m2!3m1!1s0x89c487b331723bcd:0x14d82b5c3cc0fb88,,
Ricketts Glen State Park,"Numerous waterfront sites, some of which may have a partial lake view",https://www.google.com/maps/place/Ricketts+Glen+State+Park/data=!4m2!3m1!1s0x89c568aceb29a0cf:0x500cde21e539c3e0,,
Tobyhanna State Park,"Some sites from 91-131 may have partial lake view, of which CampsitePhotos.com recommends 101, 111, 113, 115, 117, and 119",https://www.google.com/maps/place/Tobyhanna+State+Park/data=!4m2!3m1!1s0x89c4eb8a8ae3074d:0xd4914a4b988d907,,
Promised Land State Park,Pickerel Point Campground has RV spots with partial lake views and reasonably easy lake access,https://www.google.com/maps/place/Promised+Land+State+Park/data=!4m2!3m1!1s0x89c4bb7d999ff791:0xdf4500a16bca55e1,,
Green Ridge State Forest Headquarters,"numerous dispersed campsites
Must register at Green Ridge State Forest Headquarters
301-478-3124",https://www.google.com/maps/place/Green+Ridge+State+Forest+Headquarters/data=!4m2!3m1!1s0x89ca68c3635e234f:0x447d3ba5a5e53039,,
Gary's Family Campground,,https://www.google.com/maps/place/Gary's+Family+Campground/data=!4m2!3m1!1s0x89ca6d8d2ddf5357:0x8bc511a614e1e111,,
Moon Lake State Recreation Area,"multiple dispersed campsites
https://pennsylvaniastateparks.reserveamerica.com/camping/pinchot-state-forest/r/campgroundDetails.do?contractCode=PA&parkId=880252#sr_a",https://www.google.com/maps/place/Moon+Lake+State+Recreation+Area/data=!4m2!3m1!1s0x89c51300332b811b:0x5e23d1c6768011b6,,
"41°15'07.0""N 75°38'01.1""W",https://pennsylvaniastateparks.reserveamerica.com/campsiteDetails.do?contractCode=PA&siteId=23634&parkId=880252,"https://www.google.com/maps/search/41.25195,-75.63365",,
"41°13'45.3""N 75°36'24.8""W","003 Sassafras Hill
https://pennsylvaniastateparks.reserveamerica.com/camping/pinchot-state-forest","https://www.google.com/maps/search/41.22925,-75.6068889",,
Manny Gordon Pavilion,"dispersed sites nearby
https://pennsylvaniastateparks.reserveamerica.com/camping/pinchot-state-forest",https://www.google.com/maps/place/Manny+Gordon+Pavilion/data=!4m2!3m1!1s0x89c4e528c5143f9f:0x7090bc95d0fe0895,,
State Forest Campsite #E011,,https://www.google.com/maps/place/State+Forest+Campsite+%23E011/data=!4m2!3m1!1s0x89c4a300494bfbcd:0x8ce66607905e0d52,,
Delaware State Forest campsite #E014,,https://www.google.com/maps/place/Delaware+State+Forest+campsite+%23E014/data=!4m2!3m1!1s0x89c4a100739f4bd9:0xd77b447e87331a3d,,
highline campsite E-9,,https://www.google.com/maps/place/highline+campsite+E-9/data=!4m2!3m1!1s0x89c4994cca492bff:0xc633299910040416,,
E8 - Bridge Camp,,https://www.google.com/maps/place/E8+-+Bridge+Camp/data=!4m2!3m1!1s0x89c4990046902d63:0x5afdbae8c1dc5832,,
State Forest Campsite #S006,,https://www.google.com/maps/place/State+Forest+Campsite+%23S006/data=!4m2!3m1!1s0x89c49b003184c52f:0x5728a77abc984050,,
State Forest Campsite #S001,,https://www.google.com/maps/place/State+Forest+Campsite+%23S001/data=!4m2!3m1!1s0x89c491000045a6ed:0x9a3b88d0eead5cc6,,
"41°07'25.8""N 75°12'59.8""W",Delaware State Forest dispersed sites,"https://www.google.com/maps/search/41.1238247,-75.2166137",,
Weiser State Forest,"Dispersed sites nearby.
https://pennsylvaniastateparks.reserveamerica.com",https://www.google.com/maps/place/Weiser+State+Forest/data=!4m2!3m1!1s0x89c5c3c273c2d181:0xc5bfb6b8066715e8,,
Sampson State Park,,https://www.google.com/maps/place/Sampson+State+Park/data=!4m2!3m1!1s0x89d0ea0e083f8d23:0xa86e48765f7cdcab,,
Tompkins Campground,,https://www.google.com/maps/place/Tompkins+Campground/data=!4m2!3m1!1s0x89d02d5180685131:0x281436864d528b68,,
Ives Run Campground,,https://www.google.com/maps/place/Ives+Run+Campground/data=!4m2!3m1!1s0x89d1d5269bbd1d25:0x7aff57780e4d45dd,,
Jordan Lake State Recreation Area,,https://www.google.com/maps/place/Jordan+Lake+State+Recreation+Area/data=!4m2!3m1!1s0x89ac9560564ac679:0x317c94c2701b012d,,
Clearwater Lake campground,"After-hours gate code from confirmation email required after 6pm
https://www.recreation.gov/camping/campgrounds/234033
(352) 669-0078",https://www.google.com/maps/place/Clearwater+Lake+campground/data=!4m2!3m1!1s0x88e7a978d6e0a5a7:0x27629b6875a90a09,,
Hopkins Prairie Campground,,https://www.google.com/maps/place/Hopkins+Prairie+Campground/data=!4m2!3m1!1s0x88e64e1f80828a09:0x10f5d7b8f4ce39c2,,
Wekiwa Springs State Park Campground,campground is closed for a waterline project and will remain closed throughout 2025,https://www.google.com/maps/place/Wekiwa+Springs+State+Park+Campground/data=!4m2!3m1!1s0x88e7759ea84bb0b3:0x8a303df6c3c472e6,,
Blue Spring State Park Campground,,https://www.google.com/maps/place/Blue+Spring+State+Park+Campground/data=!4m2!3m1!1s0x88e7117e3cfcd00d:0x7cf8a2818f210b09,,
Mike Roess Gold Head Branch State Park,,https://www.google.com/maps/place/Mike+Roess+Gold+Head+Branch+State+Park/data=!4m2!3m1!1s0x88e609589b30588d:0xb2ed07d13abe43b6,,
Paynes Prairie Camping,,https://www.google.com/maps/place/Paynes+Prairie+Camping/data=!4m2!3m1!1s0x88e89f00589ed2bd:0xe141571bb3bb11e9,,
Rainbow Springs State Park Campground,,https://www.google.com/maps/place/Rainbow+Springs+State+Park+Campground/data=!4m2!3m1!1s0x88e8648d6efab997:0x3788cdc7ec7a2534,,
Rodman Campground,,https://www.google.com/maps/place/Rodman+Campground/data=!4m2!3m1!1s0x88e641c2c9361767:0xd0e7016194e54e35,,
Shangrila Campgrounds,,https://www.google.com/maps/place/Shangrila+Campgrounds/data=!4m2!3m1!1s0x88e8786a3857f239:0xb0cee52535921d34,,
Ross Prairie Campground,,https://www.google.com/maps/place/Ross+Prairie+Campground/data=!4m2!3m1!1s0x88e8798be9392cdb:0xdb117e2748c9fd33,,
Lake Griffin State Park,,https://www.google.com/maps/place/Lake+Griffin+State+Park/data=!4m2!3m1!1s0x88e7c0ed92b432eb:0xdbe892bb3f97ce40,,
Oscar Scherer State Park Campground,,https://www.google.com/maps/place/Oscar+Scherer+State+Park+Campground/data=!4m2!3m1!1s0x88c3450e71272ba5:0x5be9527cc42063f,,
Colt Creek State Park Campground,,https://www.google.com/maps/place/Colt+Creek+State+Park+Campground/data=!4m2!3m1!1s0x88dd51a7439be5cd:0xa244eaa63f69036b,,
Lake Louisa State Park,,https://www.google.com/maps/place/Lake+Louisa+State+Park/data=!4m2!3m1!1s0x88e7881e7be11093:0x785daf0406cbd538,,
Alafia River State Park- Campground,,https://www.google.com/maps/place/Alafia+River+State+Park-+Campground/data=!4m2!3m1!1s0x88dd2bc5d6783623:0x509e8d1961695e58,,
Lake Kissimmee Campground,,https://www.google.com/maps/place/Lake+Kissimmee+Campground/data=!4m2!3m1!1s0x88dda3e48ee58693:0x9ec166f3d6500d04,,
Highlands Hammock State Park Campground,,https://www.google.com/maps/place/Highlands+Hammock+State+Park+Campground/data=!4m2!3m1!1s0x88dcf79bc0e6d9b1:0xfb73ced9a9eabb46,,
Kissimmee Prairie Preserve Family Campground,,https://www.google.com/maps/place/Kissimmee+Prairie+Preserve+Family+Campground/data=!4m2!3m1!1s0x88dc339c1ddb22ad:0x700940b63eb52e35,,
Silver Lake Campground,,https://www.google.com/maps/place/Silver+Lake+Campground/data=!4m2!3m1!1s0x88e80762048764cb:0xca80a4de1691d1e5,,
Holder Mine Campground,,https://www.google.com/maps/place/Holder+Mine+Campground/data=!4m2!3m1!1s0x88e80d647662c8a7:0x35fc5dfc69683d95,,
Tiger Bay State Forest,,https://www.google.com/maps/place/Tiger+Bay+State+Forest/data=!4m2!3m1!1s0x88e6e09c03256761:0xbe83880ccb18f9f5,,
River Junction Campground Withalacochee State Forest,(352) 797-4140,https://www.google.com/maps/place/River+Junction+Campground+Withalacochee+State+Forest/data=!4m2!3m1!1s0x88e7fd003566f68b:0xcef80cc4548ee757,,
"Hog Island Recreation Area, Campground & Kayak Launch",(352) 797-4140,"https://www.google.com/maps/place/Hog+Island+Recreation+Area,+Campground+%26+Kayak+Launch/data=!4m2!3m1!1s0x88e807c15ad7472b:0x3316de83a675cd9d",,
Mutual Mine Campground,,https://www.google.com/maps/place/Mutual+Mine+Campground/data=!4m2!3m1!1s0x88e81210da01256d:0xec79d89a15901bce,,
Huguenot Campground,"(904) 255-4255
https://fljacksonweb.myvscloud.com",https://www.google.com/maps/place/Huguenot+Campground/data=!4m2!3m1!1s0x88e44f9ae5614e69:0xc8e75a590820bfd,,
Hanna Park Campground,"(904) 255-4255
https://fljacksonweb.myvscloud.com",https://www.google.com/maps/place/Hanna+Park+Campground/data=!4m2!3m1!1s0x88e5ca2fe3bba2b9:0x9e31da136f80a61a,,
Crooked River State Park,"RVLife 9.5/10
912-882-5256
https://gastateparks.org/CrookedRiver",https://www.google.com/maps/place/Crooked+River+State+Park/data=!4m2!3m1!1s0x88e51d04ffaf8409:0x495b4f4df85a546f,,
Blythe Island Regional Park,912-279-2812 Mon-Sat 8:30am-5pm,https://www.google.com/maps/place/Blythe+Island+Regional+Park/data=!4m2!3m1!1s0x88e527dc0c56327b:0x7690d88cd3eb3b93,,
Huntington Beach State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_
RVLife 9.4/10",https://www.google.com/maps/place/Huntington+Beach+State+Park+Campground/data=!4m2!3m1!1s0x8900383359aa879b:0x7976dd7671c93d82,,
Myrtle Beach State Park Campground,"Recommended in _Where_Should_We_Camp_Next?_
843-238-5325
https://southcarolinaparks.com/myrtle-beach/camping
RVLife 8.6/10",https://www.google.com/maps/place/Myrtle+Beach+State+Park+Campground/data=!4m2!3m1!1s0x8900420012813cf3:0xafba149013e65c00,,
Colleton State Park,RVLife 8.6/10,https://www.google.com/maps/place/Colleton+State+Park/data=!4m2!3m1!1s0x88feb816057cff2f:0x35d6120c3c923248,,
Rivers End Campground & RV Park,"Recommended in _Where_Should_We_Camp_Next?_
RVLife 8.7/10",https://www.google.com/maps/place/Rivers+End+Campground+%26+RV+Park/data=!4m2!3m1!1s0x88fb7f8107770de5:0x29d933acda9ceb88,,
Hunting Island Campground,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
RVLife 9.1/10",https://www.google.com/maps/place/Hunting+Island+Campground/data=!4m2!3m1!1s0x88fc130b1d592f31:0x9c74c2f33d428d99,,
Skidaway Island State Park,"Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi
RVLife 9.2/10",https://www.google.com/maps/place/Skidaway+Island+State+Park/data=!4m2!3m1!1s0x88fb76b61aee9483:0xe4976478e06718e6,,
Fort McAllister Campground,"RFLife 9.2/10
912-727-2339 or 912-727-4058",https://www.google.com/maps/place/Fort+McAllister+Campground/data=!4m2!3m1!1s0x88fb0d4c57199345:0x34707be6e2fdb61b,,
Cat Head Creek RV Park,RVLife 9.4/10,https://www.google.com/maps/place/Cat+Head+Creek+RV+Park/data=!4m2!3m1!1s0x88fad16553006fc3:0x92a5f009e9ca7893,,
McIntosh Lake RV Park,No check-in after 6pm.  RVLife 8.8/10,https://www.google.com/maps/place/McIntosh+Lake+RV+Park/data=!4m2!3m1!1s0x88fb263b16c32295:0x6440a70912b39b83,,
South Newport Campground,RVLife 7.3/10,https://www.google.com/maps/place/South+Newport+Campground/data=!4m2!3m1!1s0x88fb23002c364117:0x4553e8898afc4add,,
Pound River Campground,,https://www.google.com/maps/place/Pound+River+Campground/data=!4m2!3m1!1s0x88454f0fa08aa941:0x95114bde79f0cef4,,
Mohican State Park Campground,"Sites are out in the open, but the park is worth seeing.
Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi",https://www.google.com/maps/place/Mohican+State+Park+Campground/data=!4m2!3m1!1s0x8839d931c49ed2e9:0xa3a03e605cfb0103,,
Old Man's Cave Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Old+Man's+Cave+Campground/data=!4m2!3m1!1s0x8847eaea310228d9:0xefa25970e9efaa74,,
Ludington State Park and Campgrounds,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Ludington+State+Park+and+Campgrounds/data=!4m2!3m1!1s0x881c15e35897c52d:0xfaffe9a994ed32bd,,
Lower Falls Portage Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Lower+Falls+Portage+Campground/data=!4m2!3m1!1s0x4d49afab0276e2a5:0x821064b73d7c80b1,,
Platte River Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Platte+River+Campground/data=!4m2!3m1!1s0x881e1e6d510730cd:0x257f218873278ec5,,
Reelfoot State Park Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Reelfoot+State+Park+Campground/data=!4m2!3m1!1s0x88791df8a5bb033d:0xf5dc8e436a575f37,,
Smokemont Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Smokemont+Campground/data=!4m2!3m1!1s0x88595ccb166ebf7b:0x811f595254b64fc7,,
Mammoth Cave Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Mammoth+Cave+Campground/data=!4m2!3m1!1s0x8866032dad206e43:0xbbda53148f4d784c,,
Wax Campground,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Wax+Campground/data=!4m2!3m1!1s0x8868af1b0732e3c7:0x3dc3bc2e22e982fa,,
Cloudland Canyon State Park,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Cloudland+Canyon+State+Park/data=!4m2!3m1!1s0x886048e2f9d4018f:0x3b8806f39ac42a2a,,
Stone Mountain State Park,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Stone+Mountain+State+Park/data=!4m2!3m1!1s0x88519bd1c1005459:0x9e4c8f68ddc33b72,,
Topsail Hill Preserve State Park,Recommended in _Where_Should_We_Camp_Next?_ by Stephanie Puglisi,https://www.google.com/maps/place/Topsail+Hill+Preserve+State+Park/data=!4m2!3m1!1s0x889158b75f5add4f:0xc0770af337cc8a2e,,
